Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,29.860001,30.500000,29.860001,30.190001,29.081455,44984900
2023-08-08,29.910000,30.389999,29.719999,30.219999,29.110352,34771300
2023-08-09,30.209999,30.719999,30.160000,30.459999,29.341539,48561500
2023-08-10,30.299999,30.860001,30.120001,30.629999,29.505297,54020200
2023-08-11,30.610001,31.040001,30.160000,30.559999,29.437868,39403200
2023-08-14,30.480000,30.740000,30.270000,30.639999,29.514931,27992700
2023-08-15,32.049999,32.150002,30.850000,30.860001,29.726852,87366200
2023-08-16,31.000000,31.980000,30.879999,31.540001,30.381886,74461000
2023-08-17,31.750000,32.189999,31.309999,31.440001,30.285557,57570600
2023-08-18,31.410000,31.680000,31.180000,31.520000,30.362619,45579700
2023-08-21,31.700001,32.029999,30.969999,31.299999,30.150696,42236900
2023-08-22,30.500000,30.610001,30.240000,30.610001,30.610001,31372200
2023-08-23,31.200001,32.240002,31.090000,32.240002,32.240002,95507400
2023-08-24,32.270000,32.720001,31.840000,32.189999,32.189999,49332300
2023-08-25,32.380001,32.470001,31.799999,31.969999,31.969999,34079000
2023-08-28,32.099998,32.340000,31.860001,32.330002,32.330002,24956100
2023-08-29,32.400002,32.500000,31.990000,32.400002,32.400002,40607500
2023-08-30,32.410000,32.700001,32.299999,32.619999,32.619999,34637900
2023-08-31,32.709999,32.790001,31.879999,31.940001,31.940001,48971500
2023-09-01,32.209999,32.689999,31.959999,32.630001,32.630001,50089200
2023-09-04,32.680000,32.720001,32.209999,32.290001,32.290001,21667400
2023-09-05,32.270000,33.490002,32.220001,33.369999,33.369999,75082900
2023-09-06,33.349998,33.799999,33.220001,33.520000,33.520000,57856500
2023-09-08,33.480000,33.669998,33.259998,33.400002,33.400002,39074100
